study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA273359	SAMN03290916	SRS824584	SRX849782	SRR1768821	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768821/SRR1768821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768821/SRR1768821_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768821/SRR1768821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768821/SRR1768821_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/001/SRR1768821	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/001/SRR1768821		
PRJNA273359	SAMN03290916	SRS824584	SRX849782	SRR1768822	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768822/SRR1768822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768822/SRR1768822_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768822/SRR1768822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768822/SRR1768822_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/002/SRR1768822	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/002/SRR1768822		
PRJNA273359	SAMN03290898	SRS824585	SRX849783	SRR1768823	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768823/SRR1768823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768823/SRR1768823_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768823/SRR1768823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768823/SRR1768823_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/003/SRR1768823	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/003/SRR1768823		
PRJNA273359	SAMN03290898	SRS824585	SRX849783	SRR1768824	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768824/SRR1768824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768824/SRR1768824_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768824/SRR1768824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768824/SRR1768824_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/004/SRR1768824	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/004/SRR1768824		
PRJNA273359	SAMN03290899	SRS824586	SRX849784	SRR1768825	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768825/SRR1768825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768825/SRR1768825_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768825/SRR1768825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768825/SRR1768825_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/005/SRR1768825	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/005/SRR1768825		
PRJNA273359	SAMN03290899	SRS824586	SRX849784	SRR1768826	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768826/SRR1768826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768826/SRR1768826_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768826/SRR1768826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768826/SRR1768826_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/006/SRR1768826	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/006/SRR1768826		
PRJNA273359	SAMN03290913	SRS824587	SRX849785	SRR1768827	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768827/SRR1768827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768827/SRR1768827_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768827/SRR1768827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768827/SRR1768827_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/007/SRR1768827	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/007/SRR1768827		
PRJNA273359	SAMN03290913	SRS824587	SRX849785	SRR1768828	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768828/SRR1768828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768828/SRR1768828_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768828/SRR1768828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768828/SRR1768828_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/008/SRR1768828	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/008/SRR1768828		
PRJNA273359	SAMN03290889	SRS824588	SRX849786	SRR1768829	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768829/SRR1768829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768829/SRR1768829_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768829/SRR1768829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768829/SRR1768829_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/009/SRR1768829	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/009/SRR1768829		
PRJNA273359	SAMN03290889	SRS824588	SRX849786	SRR1768830	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768830/SRR1768830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768830/SRR1768830_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768830/SRR1768830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768830/SRR1768830_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR176/000/SRR1768830	ftp.sra.ebi.ac.uk/vol1/srr/SRR176/000/SRR1768830		
